smileingbelle, Sat Feb 06 01:44:52 +0000 2021, -89.876449, 32.571032, @thehill Biden shouldn't get Intel briefings. 
Denise_Ilitch, Sat Feb 06 01:44:59 +0000 2021, -83.276028, 42.517008, 👏🏻👏🏻👏🏻👏🏻yes. 
AaronKAlbright, Sat Feb 06 01:45:06 +0000 2021, -77.014398, 38.898603, Well after today it seems they all read it and put it in the recycling bin. 
natecallens, Sat Feb 06 01:45:36 +0000 2021, -96.830093, 46.864883, How could we forget this insanity? 
BerkhofMarcel, Sat Feb 06 01:45:45 +0000 2021, 5.960918, 50.877375, @s_cliffw @erikmouthaanRTL Trump sloot vrede en Biden verbreekt de vrede weer. Het wordt weer oorlog. 
PDGSethinsky, Sat Feb 06 01:45:53 +0000 2021, -112.124676, 33.552863, @FoxNews Trump leaks like a screen do.Like he gave Joe Biden any. 
joe_socket2me, Sat Feb 06 01:46:22 +0000 2021, -122.030365, 37.529056, @jeffmason1 why in your article "Biden unveils plan to pump $1.9 trillion into pandemic-hit economy" do you refer t… https://t.co/8ddBIyt7V1 
jclarkcni, Sat Feb 06 01:46:27 +0000 2021, -78.895441, 35.990983, That’s America Jack! 
Charo_Silva, Sat Feb 06 01:46:28 +0000 2021, -100.196134, 25.676603, Hombres mediocres robando medallas a mujeres, lo de siempre. 
ManDeer666, Sat Feb 06 01:46:29 +0000 2021, -70.679381, 42.630955, Are there any adults in the room? 
HamsterRj, Sat Feb 06 01:46:29 +0000 2021, -111.560519, 33.198235, Biden administration to deploy 1,000 troops to assist with COVID vaccination effort from https://t.co/HxTEnv1D2Z… https://t.co/hWbSzMf4l0 
nicholemflores, Sat Feb 06 01:46:31 +0000 2021, -79.420865, 38.003376, I can watch the news again. Of course, I have stayed very well informed over these years, reading dozens of publica… https://t.co/MCvtkqVOCL 
TeriRobins2, Sat Feb 06 01:46:43 +0000 2021, -122.935530, 45.530779, People like you caused all this unnecessary spending. Plus walls don't work. In what century do you live. Btw forge… https://t.co/EhoLMuKzmn 
ronibf, Sat Feb 06 01:46:45 +0000 2021, -73.126209, 41.207828, @Aloha711 Nope try again it was antifa and they where saying how much they dislike Biden and started breaking windo… https://t.co/vYmueMGzv8 
